Tau,Plain Collisions,Slotted Collisions
1e-06,1.98,1.3
2e-06,4.22,2.43
3e-06,6.15,3.68
4e-06,8.18,5.59
4.9999999999999996e-06,10.39,7.1
5.999999999999999e-06,11.48,7.85
6.999999999999999e-06,13.43,9.1
8e-06,16.29,11.45
9e-06,17.99,11.96
1e-05,19.64,12.33
1.1000000000000001e-05,21.69,13.97
1.2000000000000002e-05,23.83,18.34
1.3000000000000003e-05,24.4,17.73
1.4000000000000003e-05,27.35,17.08
1.5000000000000004e-05,29.62,19.18
1.6000000000000003e-05,32.1,23.39
1.7000000000000003e-05,32.36,23.82
1.8000000000000004e-05,35.53,22.96
1.9000000000000004e-05,37.57,25.69
2.0000000000000005e-05,39.01,29.08
2.1000000000000006e-05,41.1,29.09
2.2000000000000006e-05,42.87,28.62
2.3000000000000007e-05,44.27,31.71
2.4000000000000007e-05,47.13,34.01
2.5000000000000008e-05,49.04,35.74
2.600000000000001e-05,50.27,33.66
2.700000000000001e-05,51.57,39.56
2.800000000000001e-05,53.92,37.91
2.900000000000001e-05,55.66,35.54
3.000000000000001e-05,58.25,37.05
3.100000000000001e-05,61.13,44.81
3.2000000000000005e-05,61.83,42.01
3.3e-05,64.15,40.9
3.4e-05,64.56,42.63
3.5e-05,67.32,49.29
3.5999999999999994e-05,69.31,47.95
3.699999999999999e-05,70.27,44.76
3.799999999999999e-05,72.62,48.6
3.8999999999999986e-05,75.75,56.71
3.999999999999998e-05,76.33,55.86
4.099999999999998e-05,77.41,52.14
4.199999999999998e-05,81.52,54.47
4.2999999999999975e-05,81.7,61.26
4.399999999999997e-05,86.27,58.94
4.499999999999997e-05,86.15,55.64
4.5999999999999966e-05,89.67,61.5
4.699999999999996e-05,90.01,65.44
4.799999999999996e-05,92.31,65.66
4.899999999999996e-05,91.81,62.08
4.9999999999999955e-05,95.5,67.26
5.099999999999995e-05,96.91,70.67
5.199999999999995e-05,97.5,71.58
5.2999999999999947e-05,100.46,67.55
5.3999999999999944e-05,101.97,76.37
5.499999999999994e-05,104.26,77.85
5.599999999999994e-05,105.58,67.21
5.6999999999999935e-05,107.94,68.77
5.799999999999993e-05,109.96,84.43
5.899999999999993e-05,110.71,78.16
5.999999999999993e-05,112.96,71.49
6.0999999999999924e-05,115.1,74.52
6.199999999999992e-05,116.02,88.69
6.299999999999992e-05,118.07,82.63
6.399999999999992e-05,120.58,76.48
6.499999999999991e-05,122.57,80.89
6.599999999999991e-05,123.41,91.76
6.699999999999991e-05,124.73,89.0
6.79999999999999e-05,125.66,82.56
6.89999999999999e-05,128.54,89.58
6.99999999999999e-05,129.28,95.4
7.09999999999999e-05,131.93,93.17
7.19999999999999e-05,132.66,86.19
7.299999999999989e-05,136.48,91.95
7.399999999999989e-05,136.63,100.66
7.499999999999989e-05,140.57,99.27
7.599999999999988e-05,140.29,93.63
7.699999999999988e-05,140.35,100.73
7.799999999999988e-05,144.32,105.51
7.899999999999987e-05,146.05,106.82
7.999999999999987e-05,147.78,100.16
8.099999999999987e-05,149.97,110.84
8.199999999999987e-05,149.88,112.5
8.299999999999986e-05,151.7,116.73
8.399999999999986e-05,155.49,99.13
8.499999999999986e-05,156.0,119.43
8.599999999999985e-05,158.96,111.32
8.699999999999985e-05,160.68,101.75
8.799999999999985e-05,162.18,105.96
8.899999999999985e-05,161.65,121.73
8.999999999999984e-05,164.05,117.17
9.099999999999984e-05,165.56,105.8
9.199999999999984e-05,166.52,111.69
9.299999999999983e-05,169.83,128.21
9.399999999999983e-05,171.92,121.76
