Tau,Plain Collisions,Slotted Collisions,Plain Throughput,Slotted Throughput
1.00E-06,1.86,1.35,9.98E-04,9.99E-04
1.10E-05,21.89,14.22,0.01075921,0.01084358
2.10E-05,41.76,28.09,0.02012304,0.02041011
3.10E-05,60.38,45.41,0.02912822,0.02959229
4.10E-05,79.14,51.52,0.03775526,0.03888768
5.10E-05,97.93,70.52,0.04600557,0.04740348
6.10E-05,114.08,75.09,0.05404112,0.05641951
7.10E-05,132.5,93.73,0.0615925,0.06434517
8.10E-05,150.29,111.14,0.06882651,0.07199766
9.10E-05,167.73,107.31,0.07573657,0.08123479
0.000101,180.4,133.26,0.0827796,0.08754074
0.000111,199.46,138.76,0.08885994,0.09559764
0.000121,213.89,154.35,0.09511931,0.10232365
0.000131,229.91,163.1,0.10088179,0.1096339
0.000141,244.84,160.71,0.10647756,0.11833989
0.000151,260.44,199.84,0.11167356,0.12082416
0.000161,274.8,185.41,0.1167572,0.13114899
0.000171,288.19,210.09,0.12171951,0.13507461
0.000181,304.92,210.69,0.12580948,0.14286511
0.000191,315.92,238.77,0.13065928,0.14539493
0.000201,330.02,259.56,0.13466598,0.14882844
0.000211,343.58,229.22,0.13850462,0.16263458
0.000221,355.69,275.42,0.14239251,0.16013218
0.000231,370.71,253.28,0.14536599,0.17249232
0.000241,381.29,285.03,0.14910911,0.17230777
0.000251,396.19,310.46,0.15155631,0.17307454
0.000261,407.12,278.26,0.15474168,0.18837414
0.000271,417.16,318.01,0.15794964,0.18481929
0.000281,430.69,295.44,0.15997611,0.19798136
0.000291,440.29,331.96,0.16287561,0.19439964
0.000301,453.71,342.87,0.16443329,0.19779613
0.000311,462.94,318.04,0.16702566,0.21208956
0.000321,472.42,365.76,0.16935318,0.20359104
0.000331,483.93,349.78,0.17081917,0.21522282
0.000341,493.4,369.72,0.1727506,0.21492548
0.000351,505.39,368.04,0.17360811,0.22181796
0.000361,514,413.88,0.175446,0.21158932
0.000371,523.93,418.32,0.17662197,0.21580328
0.000381,532.29,379.21,0.17819751,0.23652099
0.000391,541.02,408.74,0.17946118,0.23118266
0.000401,551.26,407.83,0.17994474,0.23746017
0.000411,558.84,438.34,0.18131676,0.23084226
0.000421,569.74,461.41,0.18113946,0.22674639
0.000431,578.56,403,0.18164064,0.257307
0.000441,587.04,471.82,0.18211536,0.23292738
0.000451,591.22,431.2,0.18435978,0.2565288
0.000461,602.01,465.13,0.18347339,0.24657507
0.000471,609.83,496.31,0.18377007,0.23723799
0.000481,617.94,440.21,0.18377086,0.26925899
0.000491,624.06,501.87,0.18458654,0.24458183
0.000501,631.55,446.8,0.18459345,0.2771532
0.000511,641.32,499.18,0.18328548,0.25591902
0.000521,645.66,511.45,0.18461114,0.25453455
0.000531,654.02,468.85,0.18371538,0.28204065
0.000541,660.22,549.23,0.18382098,0.24386657
0.000551,666.97,496.96,0.18349953,0.27717504
0.000561,674.03,527.77,0.18286917,0.26492103
0.000571,679.69,516.5,0.18289701,0.2760785
0.000581,686.45,564.17,0.18217255,0.25321723
0.000591,692.7,572.29,0.1816143,0.25277661
0.000601,699.98,515.73,0.18031202,0.29104627
0.000611,704.61,594.05,0.18048329,0.24803545
0.000621,711.88,541.12,0.17892252,0.28496448
0.000631,717.49,580.19,0.17826381,0.26490011
0.000641,721.15,611.31,0.17874285,0.24915029
0.000651,727.58,544.1,0.17734542,0.2967909
0.000661,731.72,604.2,0.17733308,0.2616238
0.000671,738.36,551.59,0.17556044,0.30088311
0.000681,744.09,612.77,0.17427471,0.26370363
0.000691,747.82,620.43,0.17425638,0.26228287
0.000701,753.16,563.84,0.17303484,0.30574816
0.000711,758.9,631.28,0.1714221,0.26215992
0.000721,761.88,604.57,0.17168452,0.28510503
0.000731,766.96,620.9,0.17035224,0.2771221
0.000741,772.54,620.34,0.16854786,0.28132806
0.000751,775.66,576.97,0.16847934,0.31769553
0.000761,780.63,668.32,0.16694057,0.25240848
0.000771,784.62,610.23,0.16605798,0.30051267
0.000781,790.95,640.51,0.16326805,0.28076169
